Agent,Answered (Y/N),Avg Talk Duration,Call Id,Date,Resolved,Time,Topic,Satisfaction rating,Speed of answer in seconds
Diane,Y,30-12-1899 00:02:23,ID0001,2021-01-01,Y,30-12-1899 09:12:58,Contract related,3,109
Becky,Y,30-12-1899 00:04:02,ID0002,2021-01-01,N,30-12-1899 09:12:58,Technical Support,3,70
Stewart,Y,30-12-1899 00:02:11,ID0003,2021-01-01,Y,30-12-1899 09:47:31,Contract related,3,10
Greg,Y,30-12-1899 00:00:37,ID0004,2021-01-01,Y,30-12-1899 09:47:31,Contract related,2,53
Becky,Y,30-12-1899 00:01:00,ID0005,2021-01-01,Y,30-12-1899 10:00:29,Payment related,3,95
Stewart,N,,ID0006,2021-01-01,N,30-12-1899 10:00:29,Technical Support,,
Diane,Y,30-12-1899 00:03:40,ID0007,2021-01-01,Y,30-12-1899 10:22:05,Payment related,2,24
Diane,Y,30-12-1899 00:00:38,ID0008,2021-01-01,Y,30-12-1899 10:22:05,Payment related,4,22
Greg,Y,30-12-1899 00:06:38,ID0009,2021-01-01,Y,30-12-1899 11:13:55,Admin Support,4,15
Jim,Y,30-12-1899 00:01:04,ID0010,2021-01-01,Y,30-12-1899 11:13:55,Streaming,3,78
Joe,N,,ID0011,2021-01-01,N,30-12-1899 11:15:22,Payment related,,
Greg,Y,30-12-1899 00:00:32,ID0012,2021-01-01,Y,30-12-1899 11:15:22,Payment related,4,50
Joe,Y,30-12-1899 00:03:34,ID0013,2021-01-01,Y,30-12-1899 11:52:48,Payment related,3,84
Martha,Y,30-12-1899 00:05:44,ID0014,2021-01-01,Y,30-12-1899 11:52:48,Contract related,3,89
Becky,Y,30-12-1899 00:03:47,ID0015,2021-01-01,Y,30-12-1899 11:55:41,Admin Support,4,48
Becky,Y,30-12-1899 00:05:26,ID0016,2021-01-01,Y,30-12-1899 11:55:41,Admin Support,2,63
Greg,Y,30-12-1899 00:05:32,ID0017,2021-01-01,Y,30-12-1899 11:57:07,Technical Support,5,45
Becky,N,,ID0018,2021-01-01,N,30-12-1899 11:57:07,Admin Support,,
Jim,N,,ID0019,2021-01-01,N,30-12-1899 12:01:26,Streaming,,
